company_names,company_reviews,Reviews,Salaries,Interviews,jobs,Benefits,photos
Indian Acrylics,3.8,127 ,556,7,--,14,--
Kotak Mahindra Asset Management Company,4.0,146 ,893,11,10,10,--
Proventech,4.1,153 ,337,9,9,2,1
Kriya It,3.2,169 ,825,19,--,12,--
Yodlee,3.8,255 ,1.6k,18,--,67,--
Acme Industries,4.0,117 ,281,6,--,4,--
SITA,3.9,205 ,1.1k,29,28,23,--
Roulunds Braking,3.6,200 ,785,21,--,22,--
Trane Technologies,4.0,327 ,2k,29,4,14,--
Befree Business Resourceing,3.1,276 ,1.4k,54,9,27,--
CENTRUM HOUSING FINANCE,3.9,188 ,489,4,4,4,--
Danblock Brakes,3.9,185 ,686,12,--,16,--
Funskool India,3.9,123 ,661,6,--,6,1
Rohan Motors,3.6,205 ,719,13,3,9,--
NTF Group,4.0,259 ,1k,22,2,1,3
Milacron,3.8,137 ,925,5,3,--,--
Gainwell Technologies,4.0,175 ,1.5k,29,31,10,7
Jabsons Foods,4.0,188 ,429,31,3,7,--
Illusion Dental Laboratory,3.3,188 ,560,16,8,6,--
Excel Industries,3.9,183 ,922,15,--,11,--
REVA University,4.0,119 ,544,11,53,8,--
Alniche Life Sciences,3.7,144 ,372,5,--,12,--
Hitachi MGRM Net,3.3,127 ,315,15,--,40,--
Paranjape Schemes (Construction) Limited,3.1,186 ,847,11,2,19,--
Birla White,4.1,435 ,1.2k,38,--,33,3
Skandhanshi Infra Projects,4.3,199 ,884,15,6,19,--
GREEN POWER INTERNATIONAL,4.3,119 ,407,7,3,12,--
Amber Enterprises India,3.9,767 ,2.9k,56,10,39,2
Synoptics Technologies,3.5,109 ,346,6,10,4,--
Birdeye,3.3,173 ,1k,29,29,8,--
Special Technical Services,4.1,209 ,596,11,--,22,1
Be10X,4.3,137 ,119,15,--,--,--
Iprogrammer Solutions,4.1,158 ,664,30,3,10,--
AlmaBetter,3.8,183 ,743,24,6,1,--
WovVTech,4.1,210 ,407,20,--,4,25
Berkadia,3.8,376 ,2.2k,32,4,35,10
Microsense,3.7,277 ,1k,22,--,29,--
VST Industries,3.7,351 ,955,15,--,31,--
Ganesh Grains,3.3,191 ,614,19,1,12,--
SP Software,3.9,107 ,831,10,45,10,--
Arkade Group,3.8,236 ,293,36,7,3,5
Cethar,3.2,114 ,337,4,--,9,--
Ritu Kumar,4.1,223 ,818,14,--,10,--
Crystal Crop Protection,3.8,567 ,1.8k,24,--,43,--
Sanoh,4.2,227 ,876,14,--,27,--
Jubilant Generics,3.9,573 ,2.3k,20,--,69,--
Dynacons Systems & Solutions,3.7,377 ,1.3k,25,27,18,--
Life Care Logistic,3.6,125 ,543,8,1,6,--
Metal Power Analytical,3.4,150 ,662,22,2,21,1
Jesons Industries,3.6,193 ,1.1k,16,--,5,--
Baker Gauges,3.7,124 ,650,4,--,8,--
Stallion Laboratories,3.3,111 ,631,5,3,7,1
Antal International,3.5,128 ,531,18,12,9,--
Jagran New Media,3.4,191 ,623,6,1,11,59
Intellect Bizware Services,4.0,166 ,968,11,13,5,--
BrandMuscle,3.4,117 ,875,11,5,7,1
Dev Information Technology,3.5,239 ,1.1k,7,25,15,--
MBD GROUP,3.3,256 ,940,12,--,19,2
Parksons Packaging,4.1,380 ,1.4k,17,7,28,--
Associated Power Structures,4.3,108 ,369,4,--,13,--
Algoworks Technologies,3.3,213 ,1.7k,28,5,17,--
Volvo,4.0,897 ,5.3k,78,11,89,4
Ultratech India,3.8,163 ,787,13,11,5,--
LiquidHub,3.6,176 ,761,14,--,31,--
ASP OL Media,4.2,205 ,326,71,4,6,--
Virohan,3.9,226 ,626,32,14,3,6
Starion India,3.6,121 ,502,7,--,8,--
MAJID AL FUTTAIM RETAIL,3.5,125 ,540,10,4,10,1
EMDAD LLC,4.2,118 ,302,12,--,13,1
SCON Projects,4.5,193 ,608,7,--,16,--
Nahar Spinning Mills,4.1,125 ,469,6,--,11,--
B. E. Billimoria,3.9,128 ,280,5,--,8,--
Reliable Spaces,2.6,118 ,423,11,--,5,2
Mangalam Drugs & Organics,3.6,127 ,627,4,12,10,--
Bilt Graphic Paper Products,3.7,205 ,764,13,8,14,--
Coldex Logistics,3.2,114 ,536,5,--,5,--
Ecolab,3.5,204 ,1.2k,23,79,1,--
greytHR,3.8,254 ,1.2k,37,11,13,12
Shri Ram Murti Smarak Institute of Medical Sciences,3.6,132 ,333,7,115,9,--
Replicon,3.5,154 ,1.2k,24,31,15,1
Tata Strive Skill Development Centre,3.8,255 ,592,31,2,24,3
Bharathi Cement,4.0,213 ,724,5,--,16,--
Focus Energy,3.5,232 ,748,19,8,46,--
MRL Tyres,3.6,144 ,663,6,--,8,--
Futurz Staffing Solutions,3.6,228 ,804,20,--,9,--
Avineon India,4.0,354 ,1.4k,31,3,33,--
Sanmar Group,3.7,198 ,818,22,--,11,--
Urban Ladder,3.6,337 ,1.5k,45,--,30,17
Software AG,4.3,216 ,1.6k,25,--,19,2
Mayfair Hotels & Resorts,4.3,235 ,794,16,19,30,2
NAV Backoffice,3.7,510 ,2.4k,37,6,25,9
Krishna Group,4.0,366 ,1.4k,30,6,3,--
Groz Engineering Tools,4.2,315 ,1.3k,20,17,28,6
Atomberg Technologies,3.8,495 ,2.3k,40,15,23,--
C. L. GUPTA EXPORTS,4.3,244 ,820,8,--,20,--
Pride Technologies,3.2,114 ,1k,3,--,7,--
Envision Overseas Education Consultants,4.0,131 ,179,67,1,--,--
H-one India,3.9,131 ,536,7,--,14,--
DigiVersal Consultants,2.4,135 ,361,10,27,26,3
Dentsu Aegis Network,3.2,327 ,3k,36,--,12,6
Techahead Software,4.1,215 ,816,38,17,9,5
SNS College of Technology,4.7,132 ,85,34,--,111,--
SHREE AMBA INDUSTRIES,3.9,111 ,414,4,--,11,1
Kinetic Engineering,3.5,248 ,912,14,10,15,--
Drools,3.3,197 ,662,7,3,3,4
Conviction HR,4.1,169 ,410,29,3,54,1
Dalmia Bharat Sugar & Industries,4.1,238 ,809,19,1,21,5
Hero Future Energies,4.1,178 ,907,8,1,20,--
SequelOne,3.3,148 ,720,13,14,8,--
Bajaj Healthcare,3.3,246 ,1.3k,12,3,17,4
TerraCIS Technologies,3.7,168 ,474,8,--,3,--
Baazi Games,3.6,110 ,706,19,5,7,--
Connectwell Industries,3.7,199 ,1k,13,18,11,1
Swastika Investmart,3.8,315 ,1.1k,15,14,13,--
Gen,4.0,237 ,1.7k,23,18,38,--
RAXA,4.4,211 ,465,5,1,25,--
Qentelli,3.8,350 ,1.7k,27,61,79,25
Income Tax Department India,4.4,236 ,969,10,--,17,--
Bsa Corporation,3.6,153 ,742,5,4,10,--
Hilton Garden Inn,3.8,143 ,412,7,--,17,--
Rieco Industries,2.9,128 ,769,7,--,4,--
L&T Buildings & Factories,3.8,176 ,152,8,--,95,--
Jeena & Company,3.5,181 ,618,10,6,19,16
Simpl,2.8,152 ,858,18,--,4,--
Unibic Foods,3.7,300 ,996,15,--,22,--
GS Engineering & Construction,3.6,254 ,687,10,1,53,--
Himedia Laboratories,3.4,228 ,1.2k,16,--,10,8
Ivy Hospital,3.6,223 ,750,10,13,13,--
IndustryBuying.com,3.0,238 ,1.2k,23,29,29,--
Council of Scientific and Industrial Research,4.1,340 ,1.2k,25,--,9,--
Rinac India Limited,3.9,130 ,532,6,--,6,1
Relinns Technologies,4.5,108 ,161,15,40,1,1.2k
Leena AI,3.6,163 ,622,29,4,2,9
Patton International,3.7,215 ,909,14,5,23,--
Amazon Sellers Services,4.0,909 ,2.4k,130,--,73,--
Hyundai Motor India Engineering,3.8,204 ,1.1k,12,--,26,--
Great Champ Technology Limited,3.0,125 ,565,5,1,9,1
VFS Capital,3.7,150 ,291,6,--,2,--
Nimbus Harbor Facilities Management,4.0,299 ,927,14,--,19,--
Krishna Penstone Automotive,3.9,129 ,449,3,--,8,--
Choice International,3.3,120 ,892,11,1,5,3
Kores,3.7,371 ,1.7k,20,8,23,--
Geno Pharmaceuticals,2.9,174 ,449,16,--,13,--
Peoplelink Unified Communications,3.7,137 ,723,14,2,3,--
Nxtgen Datacenter Cloud Technologies,3.4,129 ,764,10,4,7,--
Tata Communications Payment Solutions,3.5,111 ,389,3,--,11,--
ACT Plast Paints,3.8,202 ,773,10,--,17,1
Rexel,3.6,187 ,916,13,5,17,--
Actis Technologies,4.1,138 ,552,8,6,14,--
Albert David,3.5,218 ,569,18,1,6,--
Jekson Vision,4.1,109 ,768,10,1,10,1
Uni Cards,3.8,215 ,789,27,15,2,10
Jamia Hamdard University,4.0,141 ,422,3,--,15,--
Truemeds,3.5,183 ,831,23,98,2,1
Perficient,3.7,564 ,4.3k,46,19,31,4
Indian Railway Catering and Tourism,3.7,254 ,890,11,--,24,--
Innovision,3.1,158 ,568,13,1,12,--
Saboo RKS Motor,4.0,120 ,416,7,--,8,--
Bellfast Management,4.2,119 ,478,10,2,5,4
Fraazo,3.4,168 ,660,20,--,14,--
Meghalaya Cements,4.1,279 ,984,26,--,29,--
Khimji Ramdas,3.7,336 ,868,20,3,27,--
Swal Corporation,4.2,177 ,339,10,--,10,--
Walstar Technologies,4.1,184 ,433,27,6,9,7
Plr Projects,4.2,110 ,390,5,--,12,--
HireRight,3.6,127 ,671,4,4,2,--
Hgs Services,3.8,202 ,650,55,--,35,--
Millennium Engineers & Contractors,4.1,246 ,1.1k,13,--,30,1
Skylark Labs,4.4,108 ,46,6,--,--,--
Digiperform,3.7,120 ,331,9,5,3,--
EVIO,3.9,225 ,746,10,11,14,2
Indus Health Plus,3.3,108 ,447,4,8,17,--
LANXESS India Private Limited,4.1,298 ,1.1k,21,5,40,4
NoBrokerHood,2.8,625 ,2.1k,66,7,210,2
Tata nexarc,3.0,278 ,1k,29,7,3,--
Auto Ignition,3.6,178 ,635,8,--,19,--
Saija Finance,4.5,115 ,322,2,--,13,--
Teleindia Networks,3.9,243 ,1.2k,11,7,25,--
Smc Insurance Brokers,3.6,234 ,834,10,6,13,3
Zeetech Management And Marketing,3.8,275 ,46,9,--,19,--
Mahalakshmi Profiles Private Limited,3.6,127 ,439,15,4,5,7
Epicenter Technologies,3.3,647 ,2.3k,42,3,76,--
Mani Group,3.5,117 ,346,6,--,6,--
Sigachi Industries,3.6,244 ,1.2k,22,2,17,1
Modi Naturals,4.1,151 ,558,8,7,9,--
Sharda University,3.6,367 ,1.6k,24,13,35,2
Sandfits Foundries,4.1,177 ,597,35,7,7,--
Chandigarh Group of Colleges,3.8,242 ,818,21,--,10,5
Zeiss Pharma,3.3,163 ,617,8,18,7,--
Globus Infocom,4.3,251 ,616,37,4,29,1
Operational Energy Group India,3.9,256 ,874,14,7,23,8
SMR Automotive Systems India,3.7,281 ,1.2k,9,1,22,--
5K Car Care,4.5,158 ,254,48,5,--,--
HomeShop18,4.0,152 ,478,3,1,20,1
Welcomhotel By ITC Hotels,4.2,124 ,230,6,--,2,--
KTM,3.8,119 ,369,3,--,5,--
Nivara Home Finance,3.8,154 ,482,11,8,5,--
BL Lifesciences,3.2,123 ,453,9,--,9,--
Nucon Aerospace,3.8,163 ,850,13,--,10,--
Future Consumer,4.4,154 ,674,6,--,18,--
Redington,4.0,664 ,3k,37,1,68,--
L&T Heavy Engineering,3.8,405 ,803,31,--,32,11
AFour Technologies,3.6,117 ,1.3k,13,6,11,--
Rao IIT Academy,3.5,333 ,516,9,--,75,--
Printo Document Services,3.7,136 ,623,12,18,7,--
ParamInfo,3.3,132 ,289,4,26,14,1
Refex Industries,3.7,118 ,426,15,69,5,--
Strata Geosystems,3.8,135 ,591,6,1,16,--
Kanan International,2.8,113 ,553,8,1,3,--
Vinove Software & Services,3.0,209 ,756,46,--,13,147
GSP Crop Science,4.0,376 ,1.4k,29,14,26,--
Woodrock Infotech Private Limited,3.1,162 ,273,11,1,3,1
Q Connect Corp,3.5,136 ,249,13,--,1,--
Prestige Estates Projects,4.5,145 ,651,9,--,13,--
Fia Technology Services,3.5,126 ,443,13,2,6,--
Tata Housing Development Company,4.3,219 ,916,11,--,30,--
Anjan Drug,3.3,133 ,647,16,--,9,--
Fulcrum Digital,3.5,203 ,1.4k,33,2,6,--
Target,4.0,877 ,6.7k,136,115,86,--
Ingersoll Rand,3.9,414 ,2.4k,37,13,38,6
ZestMoney,4.0,128 ,748,14,--,16,9
Amazon Web Services,3.8,969 ,6.3k,185,--,80,--
PCS Technology,3.1,164 ,368,3,--,12,--
SMARTe,3.7,130 ,862,11,2,10,--
BKT Tyres,4.2,497 ,1.9k,77,10,33,--
Aparajitha Corporate Services,3.8,966 ,3k,51,2,56,--
Akshara Enterprises,3.3,140 ,694,8,6,5,--
SMFG India Home Finance Co,3.7,387 ,939,26,--,2,1
Prithvi Innerwears Private Limited,4.8,216 ,63,47,--,1,--
Freyr Energy Services,3.7,161 ,535,9,6,8,--
Cotmac Electronics,3.7,341 ,1.5k,23,21,13,--
Zota Health Care,3.6,217 ,768,23,9,7,--
TransUnion,3.6,656 ,5.9k,102,41,55,13
TaeguTec,4.2,110 ,489,7,--,9,--
Vem Technologies,3.6,332 ,1.3k,31,2,24,--
Mold-Tek Technologies,3.5,205 ,909,12,11,17,1
Kamdhenu,3.7,175 ,545,10,11,16,--
Adyar Ananda Bhavan Sweets,4.1,115 ,446,7,5,13,1
Arkray Healthcare,3.6,225 ,813,7,13,22,--
Ginni Filaments,4.0,183 ,743,5,--,12,--
Ican BPO,4.4,186 ,237,3,--,15,--
Elevate Services,3.1,218 ,1.1k,21,2,11,--
Digi Clarity Global Solutions,4.1,135 ,309,8,6,5,4
Locuz Enterprise Solutions,3.7,279 ,1.4k,21,27,24,2
Sembcorp Marine,4.4,109 ,246,1,--,19,--
Dish Infra Services,3.2,228 ,601,7,--,8,--
Helmerich & Payne,3.8,211 ,1.8k,9,1,17,--
ProProfs,4.0,119 ,520,7,9,8,12
GSH Group,4.2,300 ,960,11,39,35,--
Acma Computers,3.3,186 ,848,23,7,10,--
Infibeam Avenues,3.4,175 ,1.3k,12,11,4,--
OCS Services,4.5,126 ,551,6,2,10,--
AddWeb Solution,4.4,113 ,168,6,23,13,22
Flash Viven Machining Technologies,3.6,226 ,1.2k,15,--,18,2
Archirodon,4.1,247 ,382,19,--,27,5
International Travel House,4.0,183 ,647,6,5,20,--
Etisalat,3.2,261 ,1.1k,16,--,30,--
Csc Computer Education,4.4,138 ,541,5,--,9,--
HEPL - A Cavinkare Group Company,3.4,210 ,1k,28,3,2,--
Qbss,3.8,134 ,599,11,--,25,--
Srmb Steel,3.7,113 ,374,9,--,6,--
Spectrum Consultants,2.4,222 ,965,28,72,13,--
Indian Council of Agricultural Research,3.7,169 ,552,7,--,8,3
Accentuate Technology,4.1,152 ,974,91,--,28,--
AXA,3.8,125 ,779,18,--,9,--
The Fern Residency,4.0,287 ,949,9,3,17,7
Ashley Global Capability Center,4.0,164 ,410,71,6,1,28
DEC Property Management,4.1,122 ,448,9,11,7,--
Cogito Tech,2.5,247 ,676,29,--,6,1
Rithwik Projects,3.9,331 ,1.1k,35,26,14,3
Nissan Digital,3.5,116 ,750,9,--,6,1
Lionbridge Technologies,3.6,659 ,3.8k,50,2,59,5
Reliance Power,4.1,919 ,3.2k,59,2,68,3
ANI INTEGRATED SERVICES,3.6,279 ,1k,19,--,10,10
Aravind Eye Hospital,4.2,125 ,397,2,6,3,1
Techmagnate,4.2,191 ,741,18,29,18,--
KerryIndev Logistics,3.7,181 ,1.1k,4,--,7,--
Aryan International,3.2,123 ,611,4,--,3,--
Anabeeb,3.9,154 ,365,11,--,13,--
Credence Resource Management,3.0,768 ,3.1k,36,40,83,1
Schiller Healthcare India,3.7,124 ,467,8,9,8,--
Aditya Birla SunLife Asset Management Company,3.8,139 ,632,15,--,15,--
The Indian Hume Pipe Co.,4.0,302 ,1k,19,--,27,--
Searce Cosourcing Services,3.0,248 ,2.1k,36,28,19,--
Creative Projects & Contracts,4.0,116 ,398,9,--,4,--
Scott Edil Pharmacia,3.6,117 ,590,11,--,8,4
Diamond Beverages,3.0,242 ,757,28,--,21,--
SECON Private Limited Bangalore INDIA,3.5,155 ,531,9,16,23,--
Ramdev Food Products,4.5,132 ,412,7,1,9,--
Skanray Technologies,2.7,112 ,612,5,--,10,--
Raksha TPA,4.1,198 ,760,6,--,12,--
Novigo Solutions,3.8,120 ,1.2k,19,1,3,--
Roots Multiclean,4.0,189 ,1k,18,3,16,--
Mobily Infotech,3.5,111 ,824,7,--,10,--
D Light Energy,3.6,130 ,433,3,2,14,--
BoAt,4.2,217 ,1.3k,10,2,7,--
Smartworks,3.4,365 ,2.1k,44,51,17,--
Emmvee Photovoltaic Power,3.5,276 ,1k,20,11,12,--
Bombay Hospital,3.4,144 ,447,8,5,10,1
Geodis Overseas,3.4,144 ,933,25,2,10,--
Specsmakers Opticians,3.7,147 ,649,11,11,5,--
Sagacious IP,3.4,138 ,585,25,--,11,--
Deepak Foundation,3.7,154 ,380,9,1,12,1
HBL Power Systems,4.0,567 ,2.1k,33,4,53,--
Sun Direct TV,3.8,191 ,626,9,1,20,--
Netenrich Technologies,3.3,239 ,1.9k,32,13,30,--
Baskin Robbins,4.0,166 ,435,8,--,15,--
GP Strategies,3.6,155 ,1.1k,8,15,11,--
NJ India Invest,3.7,484 ,1.1k,53,32,62,1
NPCC Engineering,3.7,150 ,634,16,3,14,--
Pramerica Life Insurance,3.6,926 ,2.4k,39,6,66,5
Western Union,2.9,416 ,2.7k,39,11,40,10
ICA Edu Skills,3.9,629 ,1.4k,41,6,57,2
UGC Supply Chain Solutions,2.9,209 ,935,6,--,18,--
Nucot,4.6,131 ,42,7,2,1,13
Pulse Pharmaceuticals,3.4,302 ,904,15,8,27,23
Meritshot,4.5,113 ,58,20,--,10,--
NELCAST,3.7,152 ,678,6,--,11,--
Newgen Knowledge Works,3.4,243 ,1.2k,14,2,27,--
Ambience Group,3.6,139 ,531,19,6,3,--
PharmaZell,4.3,143 ,636,10,--,14,--
Frick India,3.8,157 ,639,9,--,8,1
Symed Labs,3.7,180 ,634,6,3,13,--
MUFG Intime India,3.5,165 ,721,12,--,10,--
Aneja Associates,3.2,205 ,827,16,2,8,--
Confiance BizSol Private Limited,3.2,167 ,578,23,--,28,4
STJ Electronics,3.4,143 ,711,13,4,9,--
Xchanging,4.1,230 ,627,4,--,43,--
Agappe Diagnostics,3.9,232 ,722,21,15,23,--
Mtg Learning Media,3.8,142 ,525,12,6,6,--
Ador Powertron,3.7,118 ,472,9,2,6,--
Simpolo Vitrified,4.0,230 ,767,19,29,10,--
Sarita Handa Exports,3.6,129 ,606,8,--,6,--
MindCraft Software,3.6,261 ,1.9k,29,--,17,--
Quba Architectural Products,4.3,143 ,472,7,--,3,--
Mogli labs,3.4,248 ,1.4k,9,--,21,--
Foodlink F&B Holdings,4.0,120 ,560,5,15,25,9
Sapphire Software Solutions (India),4.4,196 ,316,13,9,38,33
Red Bull,4.0,225 ,762,13,7,22,--
Maersk Line,4.0,484 ,2.4k,33,--,64,4
Rentokil Initial,3.6,122 ,518,9,3,13,--
Panoli Intermediates India,4.0,136 ,619,9,--,14,--
Cubastion Consulting,3.0,172 ,1.1k,22,20,13,40
Oswal Woollen Mills,4.0,113 ,422,4,--,11,1
Inorbit Mall,4.2,152 ,575,16,--,19,1
Gemini Consulting & Services,3.8,135 ,1.1k,7,1,14,8
Menzies Aviation Bobba,3.8,119 ,311,6,--,15,--
IDBI Capital,3.6,196 ,872,12,3,14,--
Bobst India,3.9,165 ,843,15,3,16,--
Venus Industrial Corporation,4.0,247 ,995,17,--,18,4
Intercontinental Exchange,3.1,412 ,2.6k,43,--,6,--
Vulcan Express,3.6,164 ,227,1,--,20,--
NIFTEL COMMUNICATIONS,3.9,411 ,716,90,7,8,--
Hombale Constructions and Estates,4.5,120 ,445,2,2,24,--
Cargo Motors,4.0,253 ,862,10,10,21,--
Jubilant Motorworks,4.0,192 ,623,11,--,15,10
Petpooja,3.8,640 ,1.6k,64,65,73,31
Bajaj Hindusthan,4.1,271 ,839,13,--,28,1
Lauren Information Technologies,3.6,203 ,1.3k,9,2,9,6
Strategic Learning Solutions,4.0,158 ,527,7,1,12,--
Hilex,3.8,367 ,1.2k,17,--,33,--
Indian Potash,3.7,127 ,432,6,--,7,--
Softura,3.5,110 ,763,12,27,8,--
Naresh Kumar & Co.,4.2,126 ,440,4,--,14,--
Religare Housing Development Finance Corporation,4.2,119 ,306,2,1,9,5
Saama Technologies,3.7,399 ,3.6k,59,24,44,4
Amol Pharmaceuticals,3.9,124 ,460,4,--,5,--
Della Adventure Resort,3.9,252 ,752,16,21,22,--
The Millennium School,3.9,168 ,552,9,7,20,--
Escorts Construction Equipment,4.1,174 ,682,8,--,28,1
Steadfast Medishield,4.1,165 ,396,18,1,38,4
Ghv India,4.2,174 ,673,7,--,13,--
Jain Amar,2.9,123 ,397,7,2,6,6
Dynamic Techno Medicals,3.7,161 ,568,7,--,13,--
THERMAL SYSTEMS,4.0,135 ,596,13,1,11,--
Inspace Technologies,3.9,125 ,680,6,1,5,--
Hinduja Group,3.8,217 ,1.6k,25,--,30,8
KRG Technologies,4.2,165 ,601,17,20,9,8
Keertana Finserv,3.3,200 ,457,24,10,1,--
RPG Group,3.5,126 ,852,12,--,9,--
Corrtech International,3.2,181 ,698,3,--,7,4
Geo Chem Laboratories,3.7,206 ,645,12,2,11,--
Group Surya Peb,3.6,137 ,579,8,--,2,--
CloudMoyo,4.0,185 ,1.2k,8,12,43,--
spocto Solutions,3.6,123 ,577,7,1,4,--
First Advantage,3.5,762 ,5.1k,32,63,59,5
Reserve Bank of India,4.7,148 ,1k,18,--,12,--
Q Way Technologies,2.9,236 ,1k,15,--,18,17
Entero Healthcare Solutions,4.1,239 ,938,12,7,23,6
Globus Spirits,3.9,194 ,897,12,--,10,--
NASDAQ,3.6,149 ,1.4k,24,55,18,--
SoftTech Engineers Limited,3.3,154 ,1k,21,25,13,4
Sidwal Refrigeration Industries,4.2,143 ,607,11,--,13,1
Numero Uno Clothing,4.1,120 ,433,8,--,9,--
Rhenus Logistics,3.6,162 ,889,12,2,4,--
High Court Lucknow,4.5,160 ,1.1k,6,--,13,--
TCPL Packaging,4.0,299 ,1.4k,19,--,23,--
Oriental Carbon & Chemicals,4.3,246 ,969,24,--,33,--
Oakridge International School,3.5,156 ,475,5,26,27,--
Parason Machinery,3.3,222 ,1.2k,30,8,18,13
ICRA,3.2,297 ,1.6k,30,--,34,--
Shri Ram ComSoft Pvt Ltd - SRCOMSOFT,3.1,124 ,355,7,--,--,7
Narula Infrastructure,3.7,300 ,633,20,--,17,--
Mersen,3.6,108 ,535,6,--,8,--
Vision Express,3.9,238 ,558,2,--,21,--
Aptia,2.7,157 ,679,7,13,1,--
RG Stone Urology & Laparoscopy Hospital,3.9,239 ,714,7,89,18,--
Ivis International,3.5,153 ,476,7,--,10,--
Sowparnika,3.8,170 ,783,6,10,13,--
Greentech Industries,3.8,315 ,1.1k,17,2,36,5
IG Petrochemicals,3.4,191 ,1k,13,--,11,--
Monocept,3.3,188 ,1.2k,26,3,10,--
Busy Infotech,3.9,208 ,794,14,15,14,--
CBSE,4.3,152 ,458,6,--,10,--
Government Of Tamilnadu,3.8,120 ,559,5,--,9,--
Annora Pharma,3.6,255 ,1k,27,--,13,1
Badri Rai and Company,3.9,149 ,465,14,8,3,--
Ways2excel,4.4,199 ,61,4,--,52,--
Ziqitza Health Care,3.9,517 ,1.2k,25,--,71,--
Orient Technologies,3.7,660 ,2.9k,49,16,42,2
Groww,3.6,340 ,2.3k,80,6,15,3
Dynamatic Technologies,3.8,247 ,1.3k,15,--,20,--
Tripjack,3.9,160 ,598,27,38,2,22
Rabwin Industries,3.9,170 ,779,7,2,9,--
GE Vernova T&D India,4.2,398 ,1.6k,9,--,42,--
Agilysys Technologies India,3.3,237 ,2.5k,58,9,18,--
Doms Industries,3.8,156 ,705,6,--,7,--
Groupon,3.2,411 ,2.3k,45,6,37,29
Saint Gobain Glass,3.8,652 ,1.9k,31,--,1,--
Supriya Lifescience,3.7,123 ,629,9,16,4,--
Sonata Finance,3.8,281 ,716,16,--,26,--
MAP Systems,2.8,124 ,392,12,2,14,--
Mantra Softech,3.9,187 ,1.1k,15,7,11,--
Enviri,3.9,241 ,1.3k,18,17,22,--
Insecticides India,4.1,256 ,1.2k,18,7,19,--
Gateway Distriparks,3.5,116 ,532,6,5,8,1
Netxcell,3.5,111 ,642,6,4,11,9
Acme Formulation,3.1,156 ,703,14,19,9,8
Digicommerce Solutions LLP,4.7,135 ,175,8,6,4,7
UNIVO Education,3.4,405 ,1.5k,32,1,3,16
Sfj Business Solutions,2.8,118 ,518,10,5,3,--
Ahlcon Parenterals,4.5,113 ,374,6,--,15,--
VSynergize Outsourcing,3.1,243 ,900,8,20,12,--
Boyen Haddin,3.4,128 ,274,25,--,4,--
ADINATH MOTORS,3.8,141 ,612,5,--,9,--
FCS Software Solutions,3.7,164 ,793,16,53,12,--
IPG Mediabrands,3.3,150 ,1.4k,30,6,1,--
Grass Roots Research & Creation,4.7,210 ,128,2,5,127,--
WAISL,4.0,116 ,866,8,47,4,--
Wartsila,4.1,290 ,830,10,100,45,--
Kalyaniwalla & Mistry,3.2,128 ,641,9,6,11,--
Varmora Granito,4.0,275 ,814,13,5,22,--
Khanna Paper Mills,4.0,209 ,825,11,--,15,--
The Sleep Company,4.2,268 ,842,27,62,1,--
Euro School,3.6,155 ,560,14,--,14,--
JCBL,3.5,153 ,615,7,22,11,4
Metro Group of Hospitals,3.8,514 ,1.3k,15,57,3,1
Innovatiview India Ltd,4.3,518 ,1.3k,64,22,28,6
Municipal Corporation of Greater Mumbai,3.5,117 ,477,4,--,14,--
Hindustan Pencils,4.2,237 ,679,5,--,28,--
HyFun Foods,4.3,278 ,1.2k,20,11,13,--
Accurate Background,3.8,118 ,715,11,21,1,5
Apraava Energy,4.4,135 ,507,8,--,4,--
Prateek Group,3.7,151 ,510,17,9,5,--
Epp Composites,3.3,171 ,662,68,5,7,1
Eskag Pharma,3.2,141 ,476,8,--,10,--
Indian Register of Shipping,3.9,165 ,933,12,9,7,7
Kantar Operations,3.9,147 ,814,11,--,16,--
OVT India,3.6,129 ,565,14,--,4,1
Han River Technology,3.4,116 ,304,5,12,10,--
Housr,4.4,139 ,346,10,2,8,--
Autoliv,4.0,664 ,2.7k,41,--,56,--
KhataBook,3.6,236 ,1.2k,18,2,16,9
Maahi Milk Producer Company,4.2,195 ,495,15,--,22,1
eBIZ.com,4.0,157 ,152,2,--,32,--
Gujarat State Fertilizers & Chemicals,4.3,256 ,984,13,--,20,--
HumanHire Corp.,4.6,114 ,42,39,1,5,26
AdamsBridge Global,3.4,144 ,609,24,1,2,--
Opkey,3.8,150 ,438,16,56,40,--
Xdbs,2.8,380 ,1.7k,38,--,42,1
AISATS,3.4,205 ,396,11,--,25,--
Arohan Financial Services,3.9,966 ,2.1k,39,11,59,17
Wave Beverages,3.6,119 ,391,4,--,8,--
AAFT,4.1,249 ,479,23,25,12,--
Apna,3.3,256 ,1.1k,40,6,6,--
Chandan Healthcare,3.2,150 ,412,18,--,8,--
Sandvik Asia,4.0,649 ,1.6k,33,--,93,11
Manpasand Beverages,3.5,134 ,295,2,--,12,--
Zerodha,4.1,157 ,758,14,1,17,4
Pena4 Tech Solutions,4.0,116 ,547,8,4,15,--
SHV Energy,3.8,282 ,1.1k,16,1,26,--
Raheja Developers,2.7,202 ,791,6,1,10,--
Maxxis Rubber,3.4,364 ,1.8k,31,2,45,3
Chinmaya Vidyalaya,4.1,118 ,356,3,2,6,--
Mehin,3.9,220 ,569,9,--,10,--
eNTrust Software & Services,3.5,126 ,1.1k,15,--,5,--
Etihad Airways,4.2,147 ,423,9,--,23,--
Moving Picture Company,3.7,140 ,442,5,--,8,--
